FDA Handle,FDA Upload Date,Omeka Link,Source,Confirmed/processed,Original Filename,Filename,File size,OCLC,Monograph/Serial,Type,Title (Latin original or Romanized),Title (original script),Title (Georgian Romanized),Title (Russian script),Title (Russian romanized),Author (romanized or Latin-script original),Author (Original Script),Author (Georgian romanized),Author's date of death,Place of publication (romanized),Publishers (Georgian romanized),Publishers (romanized),DSCC publisher number,Date,# of pages,Series (romanized),Series/Serial numbering,Geographic region,Subject,Summary,Online version,Rights information,Notes,Additional Author 1,Additional Author 2,Additional Author 3,Additional Author 4,Additional Author 5,Additional Author 6,Additional Author 7,Additional Author 8,Additional Author 9,Additional Author 10,Series 2,Series 3,Language,Geospatial Data,Upload
dc.identifier.uri,,,,,,filename,,,,dc.type,dc.title,,,,,dc.contributor.author,,,,,,,,dc.date.issued,,,,,,,,dc.rights,,,,,,,,,,,,,,dc.language,,
Dublin Core:Identifier,,Dublin Core:Identifier,Dublin Core:Source,,,Dublin Core:Relation,,Dublin Core:Identifier,,Dublin Core:Type,Dublin Core:Title,Dublin Core:Title,,,,Dublin Core:Creator,Dublin Core:Creator,,,Dublin Core:Publisher,,Dublin Core:Publisher,,Dublin Core:Date,Dublin Core:Extent,Dublin Core:Description,,Dublin Core:Coverage,Dublin Core:Subject,,,Dublin Core:Rights,,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Description,Dublin Core:Description,Dublin Core:Language,Dublin Core:Coverage,
,,,in,present,222. Kuftin 1941.compressed-ilovepdf-compressed,dscc_000001.pdf,85.6,27292362,monograph,book,Arkheologicheskie raskopki v Trialeti,Археологические раскопки в Триалети,,,,"Kuftin, B. A.‏ (Boris Alekseevich),‏ ‎1892-1953‏","Куфтин, Б. А. (Борис Алексеевич), 1892-1953",,1953.0,Tbilisi,,Izd-vo Akademii nauk Gruzinskoĭ SSR,,1941,491,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A Dictionary of Archaeology (1999).pdf,,8.3 MB,38521407,,book,A Dictionary of Archaeology ,,,,,"Shaw, I.; Jameson, R.",,,,"Oxford, UK",,"Malden, Mass. : Blackwell Publishers",,1999,640,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aegean World and South Caucasus_ Cultural Relations in the Bronze Age (2016).pdf,dscc_000002.pdf,13.5 MB,,,book,Aegean World and South Caucasus: Cultural Relations in the Bronze Age,,,,,"Kvačaże, Marine ",,,,Tbilisi,,,,2016,224,,,Caucasus (general region),"Bronze age--Caucasus, South",,,,,"Šanšašvili, Nino",,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,An Introduction to Drawing Archaeological Pottery (2012).pdf,dscc_000003.pdf,2.5 MB,812257675,,book,An Introduction to Drawing Archaeological Pottery,,,,,"Collett, Leslie",,,,Whitenights,,The University of Reading Institute for Archaeologists,,2012,32,,,,Pottery,,,,,,,,,,,,,,,,,,,
,,,,,Ancient settlements of Central Colchis (1982).pdf,dscc_000004.pdf,41.3 MB,891712365,,book,Cʻentraluri Kolxetʻis żveli namosaxlarebi,ცენტრალური კოლხეთის ძველი ნამოსახლარები,,,,"Gamqreliże, Gela","გამყრელიძე, გელა",,,Tbilisi,,Mecniereba,,1982,90,,,Colchis (historical region),Human settlements,,,,Translated Title: Ancient settlements of Central Colchis,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7025559,
,,,,,Ancient Vani - Industrial district (1991).pdf,dscc_000005.pdf,27.9 MB,84122047,,book,Żveli Vani : sameurneo ubani,ძველი ვანი : სამეურნეო უბანი ,,,,"Ličʻeli, Vaxtang","ლიჩელი, ვახტანგ ","Ličʻeli, Vaxtang",,Tbilisi,,Metsmereba,,1991,159,,,,,,,,Translated Title: Ancient Vani - Industrial district,,,,,,,,,,,,,,,
,,,,,Archaeological excavations in Khevi (2005),dscc_000006.pdf,25.3 MB,315384129,,book,Ark'eologiuri gat'xrebi Xevši cg. 4 : Agmosavlet' sak'art'velos mt'ianet'is ark'eologiuri ek'pedic'iis šromebi,არქეოლოგიური გათხრები ხევში : წგ. 4 : აღმოსავლეთ საქართველოს მთიანეთის არქეოლოგიური ექსპედიციის შრომები,,,,"Mindorašvili, Davitʻ","მინდორაშვილი, დავით",dawit mindoraszwili,,Tbilisi,Sak'art'velos Mec'nierebat'a Akademia,,,2005,123,,,Georgia (nation),Excavations (Archaeology)--Georgia (Republic),,,,Translated Title: Archaeological excavations in Khevi,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7006653,
http://hdl.handle.net/2451/60937,Yes,,,,At the sources of Georgia Metallurgy (2014).pdf,dscc_000007.pdf,6.5 MB,,,book,K'art'uli metalurgiis sat'aveebt'an (żv. c. IV-I at'ascleulebi),ქართული მეტალურგიის სათავეებთან (ძვ. წ. IV-I ათასწლეულები),,У истоков металлургии Грузии (IV-I тыс. до н. э.) ,,"Inanishvili, Givi",,,,Tbilisi,Sak'art'velos erovnuli muzeumi,Georgia National Museum,,2014,252,,,Georgia (nation),Excavations (Archaeology)--Georgia (Republic); Metallurgy--History,,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",Added Russian title: У истоков металлургии Грузии (IV-I тыс. до н. э.). Translated title: At the sources of Georgia Metallurgy (4rd-1st millenium B.C.),,,,,,,,,,,,,Georgian,http://vocab.getty.edu/page/tgn/7006653,1.0
